"stimulus (pA)" "response 1 (mV)" "response 2 (mV)" "response 3 (mV)"
0 -65.16416 -66.86705 -65.9912
0 -65.14891 -66.89145 -65.979
0 -65.14282 -66.8823 -65.98205
0 -65.18553 -66.87925 -65.9912
0 -65.17639 -66.8762 -65.982059
0 -65.15502 -66.87621 -65.98205
0 -65.16112 -66.864 -66.003409
0 -65.15806 -66.8518 -66.021709
0 -65.155 -66.87622 -66.030888
0 -65.1489 -66.8762 -66.009509
0 -65.17332 -66.83961 -65.985109
0 -65.20996 -66.86095 -66.000359
0 -65.20996 -66.8579 -65.991209
0 -65.19775 -66.88537 -66.015609
0 -65.21301 -66.87011 -65.99731
0 -65.16722 -66.86095 -66.003418
0 -65.18553 -66.88841 -66.024759
0 -65.22523 -66.89451 -66.046137
0 -65.19468 -66.90976 -66.00645
0 -65.18859 -66.93115 -66.012568
0 -65.2008 -66.88842 -65.997319
0 -65.21911 -66.88536 -66.012569
0 -65.19775 -66.88536 -65.97596
0 -65.19469 -66.87926 -66.033936
0 -65.19774 -66.86095 -66.0034
0 -65.18248 -66.86095 -66.027819
0 -65.17333 -66.87925 -66.009509
0 -65.16111 -66.87925 -65.9851
0 -65.16419 -66.89756 -65.982059
0 -65.16722 -66.91588 -65.9668
0 -65.17638 -66.91281 -65.95765
0 -65.18553 -66.89147 -65.979
0 -65.1886 -66.86705 -65.9546
0 -65.16722 -66.89451 -65.97594
0 -65.17944 -66.8579 -65.972909
0 -65.19166 -66.8701 -65.9912
0 -65.21606 -66.88841 -65.985109
0 -65.20996 -66.8518 -65.9973
0 -65.21911 -66.8823 -66.015609
0 -65.22827 -66.87926 -65.9729
0 -65.2008 -66.91282 -65.97595
0 -65.19163 -66.8579 -65.96985
0 -65.22216 -66.86705 -65.9546
0 -65.17943 -66.864 -65.9546
0 -65.17943 -66.876201 -65.9485
0 -65.17943 -66.89757 -65.94239
0 -65.15502 -66.90061 -65.97595
0 -65.16112 -66.88841 -65.9729
0 -65.17942 -66.86095 -65.96375
0 -65.18861 -66.86095 -65.994259
0 -65.13365 -66.85485 -65.9607
0 -65.13671 -66.86705 -65.982059
0 -65.15806 -66.864 -65.98205
0 -65.13975 -66.8701 -65.95765
0 -65.1062 -66.8823 -65.9607
0 -65.14586 -66.8884 -65.972909
0 -65.14281 -66.90062 -65.979009
0 -65.15501 -66.8701 -65.97595
0 -65.15197 -66.90062 -65.994259
0 -65.16112 -66.8701 -66.003419
0 -65.13976 -66.88231 -65.9607
0 -65.13976 -66.93418 -65.985109
0 -65.15197 -66.90367 -65.9729
0 -65.15502 -66.89453 -66.009509
0 -65.16111 -66.89146 -66.0034
0 -65.16112 -66.88231 -65.9668
0 -65.17027 -66.87011 -65.98205
0 -65.19469 -66.90062 -65.95764
0 -65.17638 -66.91892 -65.9668
0 -65.16417 -66.89146 -65.9729
0 -65.18554 -66.89757 -65.9607
0 -65.19776 -66.8884 -65.9729
0 -65.18857 -66.87925 -66.015618
0 -65.17943 -66.87315 -65.982059
0 -65.17029 -66.89756 -65.99121
0 -65.16722 -66.90366 -65.994259
0 -65.17638 -66.88535 -65.96985
0 -65.15806 -66.90365 -66.012568
0 -65.17942 -66.88535 -66.015618
0 -65.17638 -66.88537 -66.00645
0 -65.15807 -66.88841 -66.00035
0 -65.14587 -66.90365 -66.00951
0 -65.14282 -66.93113 -65.9607
0 -65.14586 -66.91586 -65.97595
0 -65.1306 -66.91893 -65.98815
0 -65.155 -66.90978 -65.9729
0 -65.1367 -66.91892 -65.95155
0 -65.17942 -66.91893 -65.979
0 -65.17637 -66.9281 -65.95154
0 -65.18859 -66.91282 -65.93629
0 -65.19471 -66.89146 -65.93935
0 -65.20995 -66.95557 -65.9546
0 -65.19164 -66.91893 -65.96069
0 -65.20996 -66.93419 -65.9729
0 -65.19164 -66.9464 -65.96985
0 -65.15806 -66.96167 -65.95155
0 -65.17943 -66.93113 -65.92409
0 -65.21609 -66.94947 -65.9424
0 -65.20996 -66.95556 -65.91494
0 -65.20081 -66.95861 -65.92104
0 -65.21608 -66.96166 -65.93934
0 -65.20386 -66.93724 -65.93935
0 -65.18554 -66.96471 -65.93629
0 -65.17028 -66.96471 -65.93629
0 -65.18858 -66.94946 -65.93629
0 -65.1733 -66.93724 -65.94545
0 -65.21606 -66.93115 -65.9424
0 -65.20692 -66.90673 -65.92105
0 -65.21606 -66.91893 -65.96375
0 -65.2191 -66.9403 -65.9485
0 -65.18553 -66.90368 -65.92104
0 -65.20995 -66.93723 -65.9485
0 -65.23133 -66.92198 -65.966809
0 -65.22829 -66.94029 -65.95155
0 -65.20384 -66.98914 -66.003418
0 -65.21606 -66.9342 -65.9973
0 -65.22218 -66.94335 -66.000359
0 -65.20996 -66.9464 -65.95765
0 -65.22216 -66.94336 -65.93325
0 -65.17639 -66.95253 -65.94545
0 -65.19165 -66.95251 -65.91493
0 -65.17331 -66.95557 -65.93934
0 -65.17941 -66.95251 -65.93019
0 -65.17944 -66.94946 -65.93324
0 -65.18249 -66.95251 -65.9424
0 -65.19774 -66.93419 -65.9424
0 -65.16419 -66.93419 -65.94849
0 -65.17027 -66.9403 -65.93935
0 -65.20997 -66.94336 -65.95764
0 -65.20997 -66.92808 -65.9729
0 -65.1947 -66.93113 -65.9363
0 -65.19163 -66.91588 -65.96985
0 -65.18249 -66.92503 -65.99425
0 -65.20691 -66.88535 -65.99121
0 -65.21914 -66.90366 -65.9363
0 -65.24355 -66.90978 -65.954599
0 -65.24659 -66.90673 -65.96375
0 -65.24354 -66.91283 -65.9729
0 -65.22218 -66.90672 -65.96985
0 -65.18857 -66.9342 -65.9912
0 -65.17636 -66.89147 -65.9729
0 -65.21607 -66.87316 -65.9546
0 -65.22524 -66.8945 -65.966809
0 -65.22522 -66.88841 -65.96985
0 -65.19777 -66.88232 -65.98815
0 -65.2069 -66.8823 -65.9668
0 -65.20691 -66.89755 -65.9912
0 -65.21302 -66.87013 -65.97595
0 -65.18555 -66.87316 -65.93934
0 -65.17332 -66.86095 -65.979009
0 -65.17331 -66.86095 -65.9607
0 -65.19163 -66.90977 -65.9546
0 -65.17332 -66.92198 -65.9851
0 -65.16416 -66.90672 -65.979
0 -65.15805 -66.94031 -65.988159
0 -65.16113 -66.92503 -65.9912
0 -65.15197 -66.92198 -65.99425
0 -65.15502 -66.94641 -65.979009
0 -65.15806 -66.92503 -65.9912
0 -65.16112 -66.92504 -66.003409
0 -65.18249 -66.93115 -66.015618
0 -65.17943 -66.90367 -65.988168
0 -65.16417 -66.90366 -65.9668
0 -65.16417 -66.92198 -65.9912
0 -65.15502 -66.91587 -65.9973
0 -65.15503 -66.89756 -65.985109
0 -65.16111 -66.87927 -65.96375
0 -65.17638 -66.88231 -65.96985
0 -65.16722 -66.89452 -65.94848
0 -65.17637 -66.90062 -65.9546
0 -65.20079 -66.92198 -65.96375
0 -65.18555 -66.88841 -65.94544
0 -65.16721 -66.88841 -65.960699
0 -65.18249 -66.85486 -65.9851
0 -65.2069 -66.89451 -65.972909
0 -65.15806 -66.8823 -66.009509
0 -65.16415 -66.8823 -65.979009
0 -65.17943 -66.8884 -65.9668
0 -65.16723 -66.90062 -65.94545
0 -65.18556 -66.88537 -65.9729
0 -65.19165 -66.91587 -65.994259
0 -65.14891 -66.91894 -65.98205
0 -65.14587 -66.91588 -65.9912
0 -65.16723 -66.89452 -65.97595
0 -65.14585 -66.8701 -65.95765
0 -65.1611 -66.87926 -65.994259
0 -65.1367 -66.90061 -65.966809
0 -65.15806 -66.8884 -65.94545
0 -65.15805 -66.88536 -65.951559
0 -65.14586 -66.864 -65.94545
0 -65.15807 -66.86705 -65.94239
0 -65.17333 -66.8701 -65.92409
0 -65.17638 -66.8701 -65.954609
0 -65.15195 -66.8762 -65.9607
0 -65.16111 -66.86401 -65.93019
0 -65.17331 -66.8762 -65.9302
0 -65.17637 -66.89756 -65.92105
0 -65.16417 -66.89452 -65.90884
0 -65.16417 -66.90672 -65.90274
0 -65.15195 -66.90976 -65.93325
0 -65.15806 -66.90367 -65.94545
0 -65.15502 -66.90366 -65.95155
0 -65.19165 -66.89452 -65.93934
0 -65.14586 -66.90672 -65.93935
50 -65.17332 -66.864 -65.92715
50 -65.33509 -66.97997 -66.049197
50 -65.271 -66.92808 -66.015638
50 -65.17639 -66.839601 -65.90273
50 -65.1001 -66.757201 -65.79284
50 -65.02075 -66.690064 -65.77759
50 -64.99021 -66.644293 -65.79285
50 -64.94445 -66.635135 -65.71654
50 -64.9475 -66.60769 -65.70435
50 -64.9048 -66.622939 -65.6433
50 -64.88955 -66.577158 -65.59755
50 -64.85596 -66.534413 -65.5884
50 -64.81628 -66.510003 -65.6006
50 -64.81933 -66.497792 -65.55177
50 -64.77966 -66.50695 -65.51207
50 -64.74304 -66.482551 -65.54567
50 -64.70032 -66.42151 -65.52429
50 -64.682 -66.41539 -65.4541
50 -64.68811 -66.37573 -65.4419
50 -64.65452 -66.320798 -65.41137
50 -64.6057 -66.308588 -65.39919
50 -64.6057 -66.290296 -65.37173
50 -64.59655 -66.296389 -65.32897
50 -64.54774 -66.262831 -65.33202
50 -64.52942 -66.238392 -65.3015
50 -64.51721 -66.235344 -65.26795
50 -64.489741 -66.201761 -65.28625
50 -64.459241 -66.159048 -65.24353
50 -64.453122 -66.131599 -65.2069
50 -64.471441 -66.119387 -65.20691
50 -64.404305 -66.094987 -65.20385
50 -64.407353 -66.073608 -65.18249
50 -64.395154 -66.076676 -65.16112
50 -64.367692 -66.033918 -65.15195
50 -64.337162 -66.024768 -65.15806
50 -64.34024 -65.9912 -65.11534
50 -64.28528 -65.997309 -65.07874
50 -64.2456 -65.93935 -65.08485
50 -64.2273 -65.94849 -65.05737
50 -64.23646 -65.92715 -65.01464
50 -64.18762 -65.9729 -65.0055
50 -64.1632 -65.92714 -64.98413
50 -64.17542 -65.93629 -64.9719
50 -64.12351 -65.92714 -64.95056
50 -64.11131 -65.89051 -64.95972
50 -64.07165 -65.85389 -64.9353
50 -64.05945 -65.8142 -64.9109
50 -63.98925 -65.76844 -64.9231
50 -63.94347 -65.77759 -64.94141
50 -63.98622 -65.79591 -64.93835
50 -63.97094 -65.79895 -64.92615
50 -63.94957 -65.802 -64.8926
50 -63.94956 -65.75013 -64.86514
50 -63.94652 -65.7715 -64.85597
50 -63.9038 -65.73181 -64.83156
50 -63.8672 -65.70738 -64.80714
50 -63.83974 -65.7135 -64.80713
50 -63.83364 -65.69214 -64.80711
50 -63.80005 -65.67078 -64.78576
50 -63.80921 -65.65552 -64.7522
50 -63.78784 -65.6433 -64.75525
50 -63.7573 -65.6128 -64.70338
50 -63.76648 -65.62805 -64.68201
50 -63.76953 -65.59754 -64.6881
50 -63.7207 -65.58839 -64.68201
50 -63.74815 -65.56398 -64.72166
50 -63.71765 -65.55482 -64.70032
50 -63.7085 -65.57924 -64.66064
50 -63.66274 -65.54565 -64.67284
50 -63.66884 -65.55787 -64.64231
50 -63.6536 -65.54566 -64.63011
50 -63.64137 -65.53956 -64.63011
50 -63.62001 -65.53343 -64.64537
50 -63.58643 -65.4968 -64.62095
50 -63.57117 -65.49376 -64.61485
50 -63.55286 -65.48768 -64.5935
50 -63.54675 -65.45105 -64.57215
50 -63.54675 -65.45715 -64.52333
50 -63.5376 -65.45715 -64.51719
50 -63.52538 -65.39613 -64.51722
50 -63.51319 -65.41139 -64.50195
50 -63.49794 -65.39919 -64.471441
50 -63.4491 -65.38393 -64.48059
50 -63.45521 -65.37783 -64.4989
50 -63.46742 -65.32896 -64.4409
50 -63.45214 -65.32592 -64.434801
50 -63.3972 -65.30152 -64.425652
50 -63.3911 -65.3015 -64.413453
50 -63.37585 -65.31371 -64.361603
50 -63.3789 -65.27405 -64.382952
50 -63.3606 -65.2954 -64.367692
50 -63.3362 -65.2954 -64.358542
50 -63.33314 -65.29846 -64.30969
50 -63.31484 -65.24965 -64.297491
50 -63.28126 -65.26185 -64.27305
50 -63.29042 -65.26185 -64.27611
50 -63.28126 -65.23744 -64.28223
50 -63.25378 -65.24353 -64.2578
50 -63.26597 -65.24355 -64.20898
50 -63.22021 -65.19469 -64.2639
50 -63.24157 -65.15195 -64.23951
50 -63.23241 -65.1306 -64.21814
50 -63.21105 -65.15503 -64.21814
50 -63.2263 -65.1123 -64.21815
50 -63.22325 -65.10925 -64.17847
50 -63.21716 -65.1306 -64.16015
50 -63.17139 -65.10314 -64.14182
50 -63.1714 -65.09705 -64.14792
50 -63.17139 -65.09399 -64.15711
50 -63.19886 -65.07263 -64.14488
50 -63.14089 -65.07875 -64.12963
50 -63.13174 -65.07264 -64.15403
50 -63.13173 -65.07263 -64.1052
50 -63.11037 -65.01769 -64.10216
50 -63.11648 -65.02992 -64.0869
50 -63.11647 -65.03907 -64.0686
50 -63.11036 -65.03602 -64.07165
50 -63.04625 -64.97192 -64.08385
50 -63.0768 -64.98106 -64.0625
50 -63.07067 -64.98717 -64.01061
50 -63.02185 -64.98412 -64.01367
50 -63.05235 -64.98718 -63.98925
50 -63.04628 -64.9719 -64.00758
50 -63.05541 -64.96277 -63.9862
50 -63.01269 -64.93226 -63.97705
50 -63.00964 -64.9353 -64.00147
50 -63.00964 -64.9109 -63.95873
50 -63.01271 -64.91395 -63.98315
50 -63.0188 -64.90785 -63.95263
50 -63.00659 -64.88649 -63.90075
50 -62.99439 -64.84681 -63.91295
50 -63.00354 -64.82239 -63.91601
50 -62.9669 -64.83766 -63.92211
50 -62.99135 -64.80408 -63.9038
50 -62.97607 -64.78576 -63.90686
50 -62.96081 -64.78576 -63.8916
50 -62.92725 -64.77966 -63.8733
50 -62.95777 -64.79796 -63.8672
50 -62.96387 -64.78272 -63.84278
50 -62.91199 -64.78881 -63.82446
50 -62.89366 -64.76746 -63.83059
50 -62.88451 -64.76135 -63.80922
50 -62.86925 -64.7583 -63.83974
50 -62.8662 -64.7583 -63.83365
50 -62.83874 -64.73694 -63.80617
50 -62.80823 -64.71558 -63.83057
50 -62.81434 -64.70642 -63.82448
50 -62.76246 -64.72475 -63.77258
50 -62.76855 -64.74 -63.77563
50 -62.78687 -64.73085 -63.76648
50 -62.74107 -64.72779 -63.79394
50 -62.71972 -64.71557 -63.76038
50 -62.74414 -64.70947 -63.74205
50 -62.71361 -64.70337 -63.73597
50 -62.75328 -64.70336 -63.72376
50 -62.74719 -64.71253 -63.68104
50 -62.73194 -64.67895 -63.68715
50 -62.72581 -64.67591 -63.66577
50 -62.7075 -64.68811 -63.68714
50 -62.6953 -64.64232 -63.71155
50 -62.67395 -64.624 -63.7207
50 -62.66175 -64.61486 -63.68105
50 -62.66785 -64.6118 -63.65052
50 -62.6526 -64.6057 -63.65358
50 -62.6587 -64.60266 -63.65052
50 -62.65565 -64.5996 -63.6261
50 -62.64955 -64.60875 -63.64748
50 -62.61904 -64.5752 -63.63831
50 -62.65565 -64.56605 -63.65052
50 -62.62514 -64.57825 -63.64442
50 -62.63734 -64.5569 -63.61694
50 -62.6343 -64.55384 -63.58338
50 -62.6282 -64.5752 -63.58948
50 -62.61598 -64.5569 -63.6139
50 -62.6282 -64.54165 -63.61696
50 -62.62513 -64.52942 -63.59557
50 -62.59461 -64.55384 -63.6017
50 -62.56103 -64.54469 -63.58642
50 -62.57936 -64.54163 -63.56811
50 -62.60071 -64.55995 -63.5315
50 -62.57936 -64.52028 -63.54065
50 -62.55798 -64.563 -63.55895
50 -62.5702 -64.5447 -63.5132
50 -62.54271 -64.53553 -63.54676
50 -62.56101 -64.52027 -63.51929
50 -62.58546 -64.50805 -63.51014
50 -62.53357 -64.53554 -63.49487
50 -62.5 -64.54774 -63.50708
50 -62.52746 -64.55079 -63.52845
50 -62.50305 -64.53553 -63.49489
50 -62.49084 -64.5386 -63.47657
50 -62.48169 -64.53247 -63.48573
50 -62.4817 -64.5508 -63.50708
50 -62.49696 -64.492801 -63.46741
50 -62.45422 -64.53247 -63.47657
50 -62.40843 -64.52638 -63.4613
